t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,HO2-Concentration,H2O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,H2O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,798323047829308.6,-707860513591161.1,-956269029326689.0,-11489531043574.723,90462509346382.28,786833491893968.6,24891765.256377745,0.0,1500.0
1e-16,1.0735363844031725,0.9347580857630191,0.9120310050000198,0.9989218362609547,0.008294467908699466,0.0724582184066413,2.257483831625909e-09,6.094697620069845e-15,677183538264940.8,-601147216949975.2,-808998794844573.6,-10128682802514.57,76036300869696.61,667054835017273.8,20445035.692104694,116.63934089867338,1500.0
2e-16,1.136257772980028,0.8790535095740496,0.8371899723751032,0.9979648468288631,0.015311278433055726,0.13422261568789165,4.120981727087768e-09,2.2428177977605632e-14,580770868033982.2,-516027278164124.44,-692155126674443.8,-9051452068686.861,64743572907977.48,571719399003621.2,16961467.989442617,206.18015744483813,1500.0
3e-16,1.1903030685531224,0.8310166766874824,0.7728483383546875,0.9971045541422131,0.02131973956715037,0.18740761702192768,5.673365636309578e-09,4.666438946021938e-14,502794351756133.3,-447038569438604.94,-597936528284644.1,-8184686958975.996,55755768128934.55,494609650608839.2,14188042.48733666,275.662008025016,1500.0
4e-16,1.2372828627088657,0.7892370835234056,0.7170320295864808,0.9963226111083002,0.026519939255773103,0.23360546684074476,6.976348531958605e-09,7.70571635881876e-14,438844740134659.56,-390346158881555.3,-520887204134473.1,-7477343278363.718,48498569303436.61,431367384906958.25,11949007.67930972,329.9960012266874,1500.0
5e-16,1.2784331977992305,0.7526302412508605,0.6682299364492219,0.9956049978641763,0.031063430973094795,0.27403818758652293,8.0767763512678e-09,1.1227665249910958e-13,385757091000869.8,-343192878331727.6,-457099632294439.5,-6892936962325.595,42564202549078.664,378864143918853.3,10119318.201936804,372.69216836005364,1500.0
6.000000000000001e-16,1.314718456335882,0.7203484964344382,0.6252660068750094,0.9949408201297814,0.035066943759216554,0.30965926745471106,9.010805701573213e-09,1.512937108849023e-13,341212018947541.3,-303554998996211.06,-403716373232095.7,-6404838504584.275,37657011342392.664,334807171834425.75,8608124.995007481,406.31245101698846,1500.0
7.000000000000001e-16,1.346902232502649,0.6917195170248587,0.5872113088459207,0.994321484701774,0.03862173972036549,0.34122370739747415,9.806760253852397e-09,1.9330057465639718e-13,303478268192003.7,-269919647384480.84,-358609009086015.25,-5993246685989.74,33558613458468.11,297485014157392.0,7348189.227090137,432.7619208383367,1500.0
8.000000000000002e-16,1.3755970642033255,0.6662030671209455,0.5533224375349334,0.9937401230503908,0.0418001208366797,0.36933717676636274,1.0487120431519441e-08,2.376554124983668e-13,271242360127243.53,-241137325986843.4,-320166036061390.0,-5643193028412.142,30105027850570.613,265599160809455.34,6288922.561895333,453.48069739528233,1500.0
9.000000000000002e-16,1.4013000369593798,0.6433600193855582,0.5229975010746614,0.9931911801732874,0.04466004527443731,0.3944912060624503,1.1069937506519011e-08,2.8384276290744245e-13,243493196085115.47,-216321889032024.88,-287149415600254.06,-5343194599200.364,27171301660448.812,238149996093742.88,5391702.616497849,469.5734538914441,1500.0
